Var1,Var2
THRS,THRD_L
PUNP5,HXPRT
PIt,PIabc
PREPTTA,PREPHACPH
SADT,SADT2
P5CRx,P5CR
RPE,PGL
RPE,G6PDH2r
RPE,GND
TRPS1,TRPS3
TRPS1,TRPS2
IPDPS,IPDDI
MAN1PT2,MAN1PT
TKT2,PGL
TKT2,G6PDH2r
TKT2,GND
UMPK_copy1,UMPK_copy2
HSST,THRD_L
HSK,THRD_L
GLU5K,ORNTA
HSDxi,HSDy
GLCabc,FBP
G16MTM2,MANAT2
ORNTAC,ACODA
DMPPS,IPDDI
CYTK2,NTPP3
CYTK2,NDPK7
CTPS1,CTPS2
DCPT,DCPT2
DCPT,DCPDPP2
DCPT,ARI
DCPE,DCPT2
DCPE,DCPDPP2
DCPE,ARI
DCPDPP,DCPT2
DCPDPP,DCPDPP2
DCPDPP,ARI
DADK,NTPP5
DADK,NDPK8
ARGDr,ARGSS
ARGDr,ARGSL
FACOALPREPH,PREPHACPH
FAS161,DESAT16
FAS161,FACOAL161
ALATA_L,MMSAD3
ALATA_L,ASP1DC
ALATA_L,APATr
AIRCr,AIRC3
AIRCr,AIRC2
PGK,PGM
RPE,TALA
TKT2,TALA
TKT2,RPE
TKT1,RPE
TKT1,TKT2
GLUt2r,ICDHyr
HSST,THRS
HSST,SHSL4r
HSK,HSST
GLCabc,PGI
GAPD,PGM
NH4t,GLUt2r
ENO,PGK
ENO,GAPD
DMPPS,IPDPS
GLYK,G3PD1ir
FBA,GLCabc
FACOAL181,DESAT18
FACOAL180,FACOAL181
FAS181,DESAT18
FAS181,FACOAL181
FAS181,FACOAL180
ACONT,GLUt2r
ACGS,ORNTAC
AICART,AICART2
