,Unnamed: 0,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Type,Subsystem 1,Subsystem 2
0,0,ALATA_L,pFBAOpt_Rxns,-1000.0,999.118612753018,VPAMTr,ELE_Rxns,-999.628888195486,999.4897245575321,-0.5102755672310201,0.0,PSL,Alanine and Aspartate Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
1,1,CPPPGO,pFBAOpt_Rxns,0.00019438276668466998,0.000195897934595554,CPPPGO2,MLE_Rxns,0.0,1.18756339577766e-06,0.00019557037881721398,0.0,PSL,Cofactor and Prosthetic Group Biosynthesis,Cofactor and Prosthetic Group Biosynthesis
2,2,VALTA,pFBAOpt_Rxns,-1000.0,999.118612753018,VPAMTr,ELE_Rxns,-999.628888195486,999.4897245575321,-0.371111895251374,0.0,PSL,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
3,3,IMPD,pFBAOpt_Rxns,0.213281724774342,0.21333556100200304,XPPT,MLE_Rxns,0.0,2.8501503607003498e-05,0.21331027847064304,0.0,PSL,Purine and Pyrimidine Biosynthesis,Nucleotide Salvage Pathway
4,4,IMPD,pFBAOpt_Rxns,0.213281724774342,0.21333556100200304,HXAND,MLE_Rxns,0.0,2.85015143262068e-05,0.21331027847064304,0.0,PSL,Purine and Pyrimidine Biosynthesis,Nucleotide Salvage Pathway
5,5,ECOAH4,pFBAOpt_Rxns,0.3120828911226,0.312106302018606,3OAS100,MLE_Rxns,0.0,2.2801214774048607e-05,0.312105768670222,0.0,PSL,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
6,6,ECOAH4,pFBAOpt_Rxns,0.3120828911226,0.312106302018606,3OAR100,MLE_Rxns,0.0,2.2801214754508702e-05,0.312105768670222,0.0,PSL,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
7,7,ECOAH4,pFBAOpt_Rxns,0.3120828911226,0.312106302018606,3HAD100,MLE_Rxns,0.0,2.2801214774048607e-05,0.312105768670222,0.0,PSL,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
8,8,ECOAH1,pFBAOpt_Rxns,0.31209227989040805,0.3121076246669651,3HAD80,MLE_Rxns,0.0,1.34124910732697e-05,0.312105768670222,0.0,PSL,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
9,9,ECOAH1,pFBAOpt_Rxns,0.31209227989040805,0.3121076246669651,3HAD40,MLE_Rxns,0.0,1.34124728200236e-05,0.312105768670222,0.0,PSL,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
10,10,ECOAH1,pFBAOpt_Rxns,0.31209227989040805,0.3121076246669651,3OAS60,MLE_Rxns,0.0,1.3412470564688699e-05,0.312105768670222,0.0,PSL,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
11,11,ECOAH1,pFBAOpt_Rxns,0.31209227989040805,0.3121076246669651,3OAR60,MLE_Rxns,0.0,1.34124705937211e-05,0.312105768670222,0.0,PSL,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
