,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
0,PFK,NADTRHD,pFBAOpt_Rxns,MLE_Rxns,Glycolysis/Gluconeogenesis,Oxidative Phosphorylation
1,PGI,NADTRHD,pFBAOpt_Rxns,MLE_Rxns,Glycolysis/Gluconeogenesis,Oxidative Phosphorylation
2,PPC,ICL,pFBAOpt_Rxns,MLE_Rxns,Anaplerotic reactions,Anaplerotic reactions
3,PPC,MALS,pFBAOpt_Rxns,MLE_Rxns,Anaplerotic reactions,Anaplerotic reactions
4,TPI,NADTRHD,pFBAOpt_Rxns,MLE_Rxns,Glycolysis/Gluconeogenesis,Oxidative Phosphorylation
5,FBA,NADTRHD,pFBAOpt_Rxns,MLE_Rxns,Glycolysis/Gluconeogenesis,Oxidative Phosphorylation
6,GLUDy,GLUSy,pFBAOpt_Rxns,MLE_Rxns,Glutamate Metabolism,Glutamate Metabolism
7,H2Ot,PFL,pFBAOpt_Rxns,MLE_Rxns,"Transport, Extracellular",Pyruvate Metabolism
8,H2Ot,ACALD,pFBAOpt_Rxns,MLE_Rxns,"Transport, Extracellular",Pyruvate Metabolism
9,H2Ot,ALCD2x,pFBAOpt_Rxns,MLE_Rxns,"Transport, Extracellular",Pyruvate Metabolism
10,H2Ot,ETOHt2r,pFBAOpt_Rxns,MLE_Rxns,"Transport, Extracellular","Transport, Extracellular"
11,H2Ot,FORt,pFBAOpt_Rxns,MLE_Rxns,"Transport, Extracellular","Transport, Extracellular"
12,NADH16,PFL,pFBAOpt_Rxns,MLE_Rxns,Oxidative Phosphorylation,Pyruvate Metabolism
13,NADH16,FORt,pFBAOpt_Rxns,MLE_Rxns,Oxidative Phosphorylation,"Transport, Extracellular"
14,PDH,PFL,pFBAOpt_Rxns,MLE_Rxns,Glycolysis/Gluconeogenesis,Pyruvate Metabolism
15,PDH,FORt,pFBAOpt_Rxns,MLE_Rxns,Glycolysis/Gluconeogenesis,"Transport, Extracellular"
16,PGI,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Glycolysis/Gluconeogenesis
17,PGL,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns,Pentose Phosphate Pathway,Glycolysis/Gluconeogenesis
