,Unnamed: 0,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Type,Subsystem 1,Subsystem 2
0,0,3OAS120,pFBAOpt_Rxns,0.223046406215928,0.22313899703845005,AACPS7,MLE_Rxns,0.0,0.000126606667294027,0.223124424567157,0.0,PSL,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
1,1,3OAS120,pFBAOpt_Rxns,0.223046406215928,0.22313899703845005,FACOAE120,MLE_Rxns,0.0,4.82311044707751e-05,0.223124424567157,0.0,PSL,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
2,2,3OAS120,pFBAOpt_Rxns,0.223046406215928,0.22313899703845005,ECOAH6,MLE_Rxns,-3.49259722725037e-05,0.0,0.223124424567157,0.0,PSL,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
3,3,3OAS120,pFBAOpt_Rxns,0.223046406215928,0.22313899703845005,HACD6i,MLE_Rxns,0.0,3.49259723056161e-05,0.223124424567157,0.0,PSL,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
4,4,3OAS120,pFBAOpt_Rxns,0.223046406215928,0.22313899703845005,ACACT9,MLE_Rxns,0.0,3.49259723056161e-05,0.223124424567157,0.0,PSL,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
5,5,3OAS160,pFBAOpt_Rxns,0.0954573180969511,0.0955353390108763,AACPS3,MLE_Rxns,0.0,0.000126606647715688,0.095505594814727,0.0,PSL,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
6,6,3OAS160,pFBAOpt_Rxns,0.0954573180969511,0.0955353390108763,FACOAE160,MLE_Rxns,0.0,4.82311057581897e-05,0.095505594814727,0.0,PSL,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
7,7,3HAD120,pFBAOpt_Rxns,0.223046406215928,0.22313899703845005,AACPS7,MLE_Rxns,0.0,0.000126606667294027,0.223124424567157,0.0,PSL,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
8,8,3HAD120,pFBAOpt_Rxns,0.223046406215928,0.22313899703845005,FACOAE120,MLE_Rxns,0.0,4.82311044707751e-05,0.223124424567157,0.0,PSL,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
9,9,3HAD120,pFBAOpt_Rxns,0.223046406215928,0.22313899703845005,ECOAH6,MLE_Rxns,-3.49259722725037e-05,0.0,0.223124424567157,0.0,PSL,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
