,Model,PSL Count,RSL Count,PSL Fraction,RSL Fraction
0,e_coli_core,16,72,0.18181818181818182,0.8181818181818182
1,iECW_1372,241,25,0.9060150375939849,0.09398496240601503
2,iIT341,39,15,0.7222222222222222,0.2777777777777778
3,iJO1366,243,25,0.9067164179104477,0.09328358208955224
4,iML1515,251,35,0.8776223776223776,0.12237762237762238
5,iNJ661,60,15,0.8,0.2
6,iPC815,172,17,0.91005291005291,0.08994708994708994
7,iSSON_1240,239,28,0.8951310861423221,0.10486891385767791
8,iYL1228,119,25,0.8263888888888888,0.1736111111111111
9,iYS1720,272,58,0.8242424242424242,0.17575757575757575
10,STM_v1_0,123,45,0.7321428571428571,0.26785714285714285
