Organism,net_diff,median_net_diff
STM_v1_0,-1352.3384393839854,-3584.423737366151
e_coli_core,147.2925970535999,171.93023590287703
iEK1008,-17.1644475443121,-18.736821167524326
iIT341,370377.20491950825,0.4310289139620004
iJO1366,-10641.03384535828,-13044.385206429035
iML1515,-8164.877077693816,-12023.528608023513
iNJ661,837838.6822368837,999998.5684027777
iPC815,10.532550521568593,-2047.678764882151
iSSON_1240,-10869.65320673367,-16018.751992088914
iYL1228,-3004.0111594368045,-4996.943158683458
