,Unnamed: 0,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Type,Subsystem 1,Subsystem 2
0,0,ADPT,pFBAOpt_Rxns,0.0651314662989294,0.0651694260115703,ADD,MLE_Rxns,0.0,3.78945073030712e-05,0.0651694260115801,0.0,PSL,Salvage pathway of ATP,Purine metabolism
1,1,ADPT,pFBAOpt_Rxns,0.0651314662989294,0.0651694260115703,HXPRT,MLE_Rxns,0.0,3.78942743698985e-05,0.0651694260115801,0.0,PSL,Salvage pathway of ATP,Salvage pathway of GTP
2,2,ALAD_L,pFBAOpt_Rxns,19.6043723858428,19.6045429104,FADOX,MLE_Rxns,0.0,0.000113682915817037,19.6045425145654,0.0,PSL,Alanine Metabolism,Respiratory chain
3,3,ANS2,pFBAOpt_Rxns,0.0373550064755367,0.0374154761988984,ANS,MLE_Rxns,0.0,5.6841409767582896e-05,0.037411885447566,0.0,PSL,Chorismate Metabolism,Tryptophan Biosynthesis
4,4,DHPS,pFBAOpt_Rxns,0.0346121792379149,0.0346406346736722,FOLD3,MLE_Rxns,0.0,2.8420726104094703e-05,0.0346406346736722,0.0,PSL,Folate Biosynthesis,Folate Biosynthesis
5,5,DHPS,pFBAOpt_Rxns,0.0346121792379149,0.0346406346736722,HPPK,MLE_Rxns,0.0,2.8420726104094703e-05,0.0346406346736722,0.0,PSL,Folate Biosynthesis,Folate Biosynthesis
6,6,CAT,pFBAOpt_Rxns,0.0322373593251957,0.0323489622475122,CCP,MLE_Rxns,0.0,0.00022289123396097997,0.0323489622475118,0.0,PSL,ROS Detoxification,ROS Detoxification
7,7,GARFT,pFBAOpt_Rxns,0.3513658101673729,0.375018330168235,FTHFD,MLE_Rxns,0.0,5.6841437301447e-05,0.35142300345016303,0.0,PSL,IMP Synthesis,THF Metabolism
8,8,GART,pFBAOpt_Rxns,0.0,0.0236477831464939,FTHFLi,ELE_Rxns,0.0,0.0236477828263375,0.0235909650254931,0.0,PSL,IMP Synthesis,THF Metabolism
9,9,HCO3E,pFBAOpt_Rxns,-999996.7671389759,999999.0,H2CO3D2,ELE_Rxns,-999999.0,999996.7671389759,2.23286325854482,0.0,PSL,Others,Others
10,10,HEMEti,ZeroFlux_Rxns,0.0,0.0,CPPPGO,pFBAOpt_Rxns,0.0,4.1568676838822404e-06,4.15687616084067e-06,0.0,PSL,Transport,Heme biosynthesis
11,11,HEMEti,ZeroFlux_Rxns,0.0,0.0,FCLT,pFBAOpt_Rxns,0.0,4.1568676838822404e-06,4.15687616084067e-06,0.0,PSL,Transport,Heme biosynthesis
12,12,HEMEti,ZeroFlux_Rxns,0.0,0.0,FE2abc,pFBAOpt_Rxns,0.0,4.1568676838822404e-06,4.15687616084067e-06,0.0,PSL,Transport,Transport
13,13,HEMEti,ZeroFlux_Rxns,0.0,0.0,GLUTRR,pFBAOpt_Rxns,0.0,3.3254941471057896e-05,4.15687616084067e-06,0.0,PSL,Transport,Heme biosynthesis
14,14,HEMEti,ZeroFlux_Rxns,0.0,0.0,GLUTRS,pFBAOpt_Rxns,0.0,3.3254941471057896e-05,4.15687616084067e-06,0.0,PSL,Transport,Heme biosynthesis
15,15,HEMEti,ZeroFlux_Rxns,0.0,0.0,G1SAT,pFBAOpt_Rxns,0.0,3.3254941471057896e-05,4.15687616084067e-06,0.0,PSL,Transport,Heme biosynthesis
16,16,HEMEti,ZeroFlux_Rxns,0.0,0.0,HMBS,pFBAOpt_Rxns,0.0,4.1568676838822404e-06,4.15687616084067e-06,0.0,PSL,Transport,Heme biosynthesis
