CPPPGO,Heme biosynthesis
CS,TCA cycle
CTPS1,UTP/CTP de novo Synthesis
CYOO_HP,Respiratory chain
CYSS,Methionine Metabolism
CYSabc,Transport
CYTDt2,Transport
CYTK1,Nucleotide Interconversion
ADMDC,Spermidine Biosynthesis
DAAD,Alanine Metabolism
ADNUC,Purine metabolism
DADK,Nucleotide Interconversion
EX_pime_e,Extracellular exchange
DADNt2,Transport
ADNt2,Transport
ADPT,Salvage pathway of ATP
DAGK_HP,Glycerolipid Synthesis
ADSK,Others
ADSL1r,ATP de novo Synthesis
EX_phe__L_e,Extracellular exchange
ADSL2r,IMP Synthesis
DALAt2r,Transport
ADSS,ATP de novo Synthesis
DAPDC,Lysine Biosynthesis
EX_pheme_e,Extracellular exchange
DAPE,Lysine Biosynthesis
EX_pi_e,Extracellular exchange
DASYN_HP,Glycerolipid Synthesis
4HGLSD,Glyoxylate Metabolism
ADtr,Transport
DB4PS,Riboflavin Metabolism
AGMHE,LPS Biosynthesis - adphep
DBTS,Biotin Biosynthesis
AGMT,Spermidine Biosynthesis
AHCYSNS,Others
A5PISO,LPS Biosynthesis
AAtr,Transport
ACACT1r,Others
AHSERL2,Methionine Metabolism
AICART,IMP Synthesis
AIRC2,IMP Synthesis
AIRC3,IMP Synthesis
AKGt2r,Transport
AKO,TCA cycle
ALAALAr,Peptidoglycan Biosynthesis
DCTPD,Nucleotide Interconversion
ALAD_L,Alanine Metabolism
ALAR,Alanine Metabolism
ACACt2,Transport
ALAt2r,Transport
DCTPD2,Nucleotide Interconversion
ALAt4,Transport
ALCD2y,Others
AMAA,Peptidoglycan Biosynthesis
ACALDt,Transport
ACCOAC,Fatty Acid Synthesis
ACKr,Others
DCYTt2,Transport
ACOATA,Fatty Acid Synthesis
AMAOTr,Biotin Biosynthesis
ACONT,TCA cycle
DDPA,Chorismate Biosynthesis
DDPGA,Glyoxylate Biosynthesis
ACP1_FMN,Riboflavin Metabolism
DGK1,Nucleotide Interconversion
DHDPRy,Lysine Biosynthesis
ACPS,Pantothenate and CoA Biosynthesis
DHDPS,Lysine Biosynthesis
ACS,Others
AMID2,Others
DHFR,Folate Biosynthesis
AMID4,Others
ACt2r,Transport
ADCL,Folate Biosynthesis
AMID5,Others
DHFS,Folate Biosynthesis
AMMQT6,Menaquinone Biosynthesis
ANPRT,Tryptophan Biosynthesis
ANS,Tryptophan Biosynthesis
ANS2,Chorismate Metabolism
ADD,Purine metabolism
ADEt2,Transport
ADK1,ATP de novo Synthesis
DHNAOT2,Menaquinone Biosynthesis
EX_fe2_e,Extracellular exchange
DHNPA,Folate Biosynthesis
EX_fe3_e,Extracellular exchange
AOXSr,Biotin Biosynthesis
APRAUR,Riboflavin Metabolism
DHORD3,UTP/CTP de novo Synthesis
ARGDC,Spermidine Biosynthesis
ARGN,Urea Cycle
EX_for_e,Extracellular exchange
EX_fum_e,Extracellular exchange
EX_gal_e,Extracellular exchange
EX_glc__D_e,Extracellular exchange
ARGSL,Urea Cycle
ARGSS,Urea Cycle
DHORTS,UTP/CTP de novo Synthesis
ARGt2r,Transport
EX_gln__L_e,Extracellular exchange
EX_glu__L_e,Extracellular exchange
DHPPDA,Riboflavin Metabolism
EX_gly_e,Extracellular exchange
EX_gsn_e,Extracellular exchange
ASAD,Aspartate Metabolism
ASNN,Asparagine Metabolism
EX_gua_e,Extracellular exchange
DHPS,Folate Biosynthesis
EX_h2_e,Extracellular exchange
ASNS2,Asparagine Metabolism
DHPTDCs,Others
ASNabc,Transport
DHQTi,Chorismate Biosynthesis
ASNt2r,Transport
ASP1DC,Pantothenate and CoA Biosynthesis
ASPCT,UTP/CTP de novo Synthesis
ASPK,Aspartate Metabolism
EX_h2co3_e,Extracellular exchange
EX_h2o_e,Extracellular exchange
EX_h_e,Extracellular exchange
EX_his__L_e,Extracellular exchange
EX_hxan_e,Extracellular exchange
EX_ile__L_e,Extracellular exchange
ASPO2,Nicotinate Biosynthesis
ASPT,Aspartate Metabolism
EX_lac__L_e,Extracellular exchange
ASPTA,Aspartate Metabolism
