"","X","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule"
"25",25,"ACONTa","FGLU",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,0,-1,0,0,-1.73253356106073e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"26",26,"ACONTa","FORAMD",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,-48.2595357728445,-1,0,0,-1.73253356106073e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"27",27,"ACONTa","HISDr",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,0,-1,0,0,-1.72803993336856e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"28",28,"ACONTa","IZPN",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,0,-1,0,0,-1.73253356106073e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"29",29,"ACONTa","URCN",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,0.0229380249555025,-1,0,0,-1.73253356106073e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"30",30,"ACONTb","FGLU",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,0,-1,0,0,-1.73253356106073e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"31",31,"ACONTb","FORAMD",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,-48.2595357728445,-1,0,0,-1.73253356106073e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"32",32,"ACONTb","HISDr",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,0,-1,0,0,-1.72803993336856e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"33",33,"ACONTb","IZPN",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,0,-1,0,0,-1.73253356106073e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
"34",34,"ACONTb","URCN",-13.3397586289339,39.6070548273474,0,14.0157674785578,0,0.0229380249555025,-1,0,0,-1.73253356106073e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",278,61.005881337129,17,80,181,97,"Citric Acid Cycle","Histidine Metabolism"
