"","X","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule"
"214",214,"O2tex","CPPPGO2",0,307.879317479911,0,1.03237598516223,0,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",424,591.976170967818,16,19,389,35,"Transport, Outer Membrane Porin","Cofactor and Prosthetic Group Biosynthesis"
"215",215,"O2tex","ENO",0,307.879317479911,-94.0518360261548,64.0042184243471,0,0.000219129851792167,0,-1,14.5247700822285,14.524770082041,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",434,828.225031356029,23,24,387,47,"Transport, Outer Membrane Porin","Glycolysis/Gluconeogenesis"
"216",216,"O2tex","GAPD",0,307.879317479911,-62.6364543208124,19.8819486327342,0,0,0,-1,16.2683229322419,16.2683229322289,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",437,883.681670534152,25,30,382,55,"Transport, Outer Membrane Porin","Glycolysis/Gluconeogenesis"
"217",217,"O2tex","OPHHX3",0,307.879317479911,0,0.000219105628719957,0,0,0,0,0,0.000219129799062003,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",423,585.722777075061,15,17,391,32,"Transport, Outer Membrane Porin","Cofactor and Prosthetic Group Biosynthesis"
"218",218,"O2tpp","CPPPGO2",0,57.8795147581886,0,1.03237598516223,0,0,0,0,0,-1.12820863762408e-12,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",420,572.727210978814,16,16,388,32,"Inorganic Ion Transport and Metabolism","Cofactor and Prosthetic Group Biosynthesis"
"219",219,"O2tpp","ENO",0,57.8795147581886,-94.0518360261548,64.0042184243471,0,0.000219129851792167,0,-1,14.5247700822546,14.5247700820573,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",433,827.8849956862,19,26,388,45,"Inorganic Ion Transport and Metabolism","Glycolysis/Gluconeogenesis"
"220",220,"O2tpp","GAPD",0,57.8795147581886,-62.6364543208124,19.8819486327342,0,0,0,-1,16.2683229322286,16.2683229322515,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",446,895.541859869641,27,33,386,60,"Inorganic Ion Transport and Metabolism","Glycolysis/Gluconeogenesis"
"221",221,"O2tpp","OPHHX3",0,57.8795147581886,0,0.000219105628719957,0,0,0,0,0,0.00021912979906277,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",431,586.149667466152,17,18,396,35,"Inorganic Ion Transport and Metabolism","Cofactor and Prosthetic Group Biosynthesis"
"228",228,"PGK","O2tex",-19.8819486327342,62.6364543208124,0,307.879317479911,0,0,-1,0,NA,NA,17.5902919138529,267.586346348145,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",438,886.7264341555,25,32,381,57,"Glycolysis/Gluconeogenesis","Transport, Outer Membrane Porin"
"229",229,"PGK","O2tpp",-19.8819486327342,62.6364543208124,0,57.8795147581886,0,0,-1,0,NA,NA,17.5902919138362,17.5902919137747,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",438,886.698126950057,27,32,379,59,"Glycolysis/Gluconeogenesis","Inorganic Ion Transport and Metabolism"
