"","X","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule"
"41",41,"ATPM","pa2_ST",8.39,8.39,4.77832600154215e-08,9.55667321521485e-07,8.39,0,1,1,NA,NA,NA,NA,"pFBAOpt_Rxns","Essential_Rxns","RSL",408,49.796177748016,126,174,108,300,"Biomass and maintenance functions","Phospholipid Metabolism"
"42",42,"ATPM","ps2_ST",8.39,8.39,4.77832600154215e-08,5.92208604914657e-07,8.39,0,1,1,NA,NA,NA,NA,"pFBAOpt_Rxns","Essential_Rxns","RSL",408,49.796177748016,126,174,108,300,"Biomass and maintenance functions","Phospholipid Metabolism"
"56",56,"GAPD","ATPS4rpp",-18.1276690348727,9.93800402330273,-9.21663558856829,87.9737717904268,0,37.0384048368845,-1,-1,37.038404836906,37.038404836856,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",484,315.563537493099,24,29,431,53,"GlycolysisGluconeogenesis","Oxidative Phosphorylation"
"70",70,"O2tex","DHORD5",0,18.5,0,4.71559594150849,0,0.0238916830380371,0,0,0,0.181169676809893,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",487,371.792200100654,15,15,457,30,"Transport Outer Membrane Porin","Purine and Pyrimidine Biosynthesis"
"71",71,"O2tex","DKMPPD3",0,18.5,0,0.00334611439264698,0,0.0500416079568295,0,0,0.00334483563053212,0.00334483562532519,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","RSL",490,375.899677122425,14,18,458,32,"Transport Outer Membrane Porin","Arginine and Proline Metabolism"
"72",72,"O2tex","ENO",0,18.5,-27.87483919822,25.3327744404944,0,0,0,-1,7.1505721604628,7.1505721604295,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",494,488.382580126876,18,19,457,37,"Transport Outer Membrane Porin","GlycolysisGluconeogenesis"
"73",73,"O2tex","FBA",0,18.5,-23.0896640486598,53.4216875735356,0,0,0,-1,4.12964498105919,4.12964498101284,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",495,450.891959247087,20,45,430,65,"Transport Outer Membrane Porin","GlycolysisGluconeogenesis"
"74",74,"O2tex","FRD2",0,18.5,0,40.0235322880783,0,0,0,0,0,20.3230162750214,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",488,375.307909623219,16,22,450,38,"Transport Outer Membrane Porin","Citric Acid Cycle"
"75",75,"O2tex","GAPD",0,18.5,-18.1276690348727,9.93800402330273,0,0,0,-1,8.36963596972372,8.36963596970573,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",500,523.306879899905,23,43,434,66,"Transport Outer Membrane Porin","GlycolysisGluconeogenesis"
"76",76,"O2tex","SUCCt3pp",0,18.5,0,94.1471156480447,0,0,0,0,0,-2.38694989699676e-11,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",486,375.269102383174,14,23,449,37,"Transport Outer Membrane Porin","Transport Inner Membrane"
"77",77,"O2tex","SUCCtex",0,18.5,-7.65911213044254,0,0,0,0,0,1.35758071451164e-12,0,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",486,375.271454191662,14,15,457,29,"Transport Outer Membrane Porin","Transport Outer Membrane Porin"
"78",78,"O2tpp","DHORD5",0,18.5,0,4.71559594150849,0,0.0238916830380371,0,0,0,0.181169676807972,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",489,372.408547273297,14,17,458,31,"Inorganic Ion Transport and Metabolism","Purine and Pyrimidine Biosynthesis"
"79",79,"O2tpp","DKMPPD3",0,18.5,0,0.00334611439264698,0,0.0500416079568295,0,0,0.00334483562918564,0.00334483562532519,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","RSL",487,371.742920337824,17,23,447,40,"Inorganic Ion Transport and Metabolism","Arginine and Proline Metabolism"
"80",80,"O2tpp","ENO",0,18.5,-27.87483919822,25.3327744404944,0,0,0,-1,7.15057216047374,7.15057216042033,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",493,487.084128621316,23,28,442,51,"Inorganic Ion Transport and Metabolism","GlycolysisGluconeogenesis"
