"","X","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule"
"29",29,"CO2tex","ATPS4rpp",-62.4381715323164,0,-14.8416724642714,95.8227296657996,0,0,0,-1,NA,NA,5.26722327403093,86.7542315958831,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",341,389.205343184784,15,30,296,45,"Transport; Outer Membrane Porin","Oxidative Phosphorylation"
"30",30,"CO2tex","GAPD",-62.4381715323164,0,-27.0975027484446,3.9692092874563,0,3.23511185970523,0,-1,NA,NA,-20.5582473472155,3.38413813404991,"pFBAOpt_Rxns","pFBAOpt_Rxns","PSL",356,190.405069839569,22,48,286,70,"Transport; Outer Membrane Porin","Glycolysis/Gluconeogenesis"
"31",31,"CO2tex","Htex",-62.4381715323164,0,-10.0222659673382,65.2653558141094,0,0,0,-1,NA,NA,-5.12499579536211,50.2667467801243,"pFBAOpt_Rxns","ELE_Rxns","PSL",340,136.232223215892,17,25,298,42,"Transport; Outer Membrane Porin","Transport; Outer Membrane Porin"
"32",32,"CYSabcpp","CYSS",0,81.7033795372891,0,28.0509082716083,0,0,0,0,0,21.2380417544393,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",331,14.8980359000109,29,117,185,146,"Transport; Inner Membrane","Cysteine Metabolism"
"33",33,"CYSabcpp","GHMT2r",0,81.7033795372891,-19.0490064912195,0.358025816645729,0,0.00340270057457791,0,-1,-14.3811089549941,-0.630933897755137,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",353,25.0176957934784,26,121,206,147,"Transport; Inner Membrane","Glycine and Serine Metabolism"
"34",34,"CYSabcpp","PAPSSH",0,81.7033795372891,0,20.2141568788426,0,0,0,0,0,14.1679907971449,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",348,15.3325380537052,29,126,193,155,"Transport; Inner Membrane","Sulfur Metabolism"
"35",35,"CYSabcpp","SERAT",0,81.7033795372891,0,28.0509082716077,0,0,0,0,0,21.2380417544387,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",346,15.298177431151,30,121,195,151,"Transport; Inner Membrane","Cysteine Metabolism"
"36",36,"CYSabcpp","SO4tex",0,81.7033795372891,0,20.2141569086896,0,0,0,0,0,14.1679907971436,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",348,15.1188972552986,32,124,192,156,"Transport; Inner Membrane","Transport; Outer Membrane Porin"
"37",37,"CYSabcpp","SULabcpp",0,81.7033795372891,0,20.2141569086896,0,0,0,0,0,14.1679907971436,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",348,15.1188972552986,32,124,192,156,"Transport; Inner Membrane","Inorganic Ion Transport and Metabolism"
"38",38,"CYSabcpp","SULR",0,81.7033795372891,0,20.2141568788412,0,0,0,0,0,14.1679907971441,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",348,14.8740756306937,31,123,194,154,"Transport; Inner Membrane","Cysteine Metabolism"
"39",39,"CYSDS","GHMT2r",0,29.0498761528953,-19.0490064912195,0.358025816645729,0,0.00340270057457791,0,-1,-14.3811089549941,-0.630933897755137,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",361,25.0263395105429,34,115,212,149,"Cysteine Metabolism","Glycine and Serine Metabolism"
"40",40,"CYStex","CYSS",-2.04000651009517,1,0,28.0509082716083,0,0,-1,0,0,21.2380417544384,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",350,13.3946237317746,32,131,187,163,"Transport; Outer Membrane Porin","Cysteine Metabolism"
"41",41,"CYStex","GHMT2r",-2.04000651009517,1,-19.0490064912195,0.358025816645729,0,0.00340270057457791,-1,-1,-14.381108954995,-0.630933897755137,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",354,23.9656945332204,28,129,197,157,"Transport; Outer Membrane Porin","Glycine and Serine Metabolism"
"42",42,"CYStex","PAPSSH",-2.04000651009517,1,0,20.2141568788426,0,0,-1,0,0,14.1679907971449,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",353,13.573067047874,28,132,193,160,"Transport; Outer Membrane Porin","Sulfur Metabolism"
"43",43,"CYStex","SERAT",-2.04000651009517,1,0,28.0509082716077,0,0,-1,0,0,21.2380417544387,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",350,13.2797413755207,30,129,191,159,"Transport; Outer Membrane Porin","Cysteine Metabolism"
"44",44,"CYStex","SO4tex",-2.04000651009517,1,0,20.2141569086896,0,0,-1,0,0,14.1679907971436,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",350,13.4226577268465,30,129,191,159,"Transport; Outer Membrane Porin","Transport; Outer Membrane Porin"
"45",45,"CYStex","SULabcpp",-2.04000651009517,1,0,20.2141569086896,0,0,-1,0,0,14.1679907971436,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",350,13.4226577268465,30,129,191,159,"Transport; Outer Membrane Porin","Inorganic Ion Transport and Metabolism"
"46",46,"CYStex","SULR",-2.04000651009517,1,0,20.2141568788412,0,0,-1,0,0,14.1679907971441,NA,NA,"pFBAOpt_Rxns","ELE_Rxns","PSL",350,13.7114416781164,26,135,189,161,"Transport; Outer Membrane Porin","Cysteine Metabolism"
