"","X","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule","species"
"1",1,"CO2t","PFK",-58.140492744225,10.3951050549324,0,168.339373331385,-22.809833310205,7.47738196216029,-1,0,NA,NA,7.47738196216032,7.47738196216028,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",54,642.831492942459,7,10,37,0.314814814814815,"Transport, Extracellular","Glycolysis/Gluconeogenesis","e_coli_core"
"2",2,"CO2t","PPC",-58.140492744225,10.3951050549324,0,158.5080531932,-22.809833310205,2.50430947036873,-1,0,NA,NA,2.50430947036873,2.50430947036873,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",56,346.781906815757,7,8,41,0.267857142857143,"Transport, Extracellular","Anaplerotic reactions","e_coli_core"
"3",3,"CYTBD","PFK",0,116.17995148164,0,168.339373331385,43.5989853119975,7.47738196216029,0,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",57,730.14478555708,8,13,36,0.368421052631579,"Oxidative Phosphorylation","Glycolysis/Gluconeogenesis","e_coli_core"
"4",4,"CYTBD","PGI",0,116.17995148164,-48.016614442475,9.99104230975001,43.5989853119975,4.86086114649686,0,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",57,490.609297675061,8,10,39,0.315789473684211,"Oxidative Phosphorylation","Glycolysis/Gluconeogenesis","e_coli_core"
"5",5,"CYTBD","PPC",0,116.17995148164,0,158.5080531932,43.5989853119975,2.50430947036873,0,0,2.50430947036873,2.50430947036873,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",58,445.2370329464,9,14,35,0.396551724137931,"Oxidative Phosphorylation","Anaplerotic reactions","e_coli_core"
"6",6,"FBA","CO2t",-9.37935004501003,9.95653553906504,-58.140492744225,10.3951050549324,0,-22.809833310205,-1,-1,-22.8098333102049,-22.8098333102049,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",54,636.947635949505,7,9,38,0.296296296296296,"Glycolysis/Gluconeogenesis","Transport, Extracellular","e_coli_core"
"7",7,"FBA","CYTBD",-9.37935004501003,9.95653553906504,0,116.17995148164,0,43.5989853119975,-1,0,43.5989853119975,43.5989853119975,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",56,720.81200354736,9,12,35,0.375,"Glycolysis/Gluconeogenesis","Oxidative Phosphorylation","e_coli_core"
"8",8,"FBA","NADTRHD",-9.37935004501003,9.95653553906504,0,359.796978454322,0,4.95998494457467,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL",49,323.295102564371,8,10,31,0.36734693877551,"Glycolysis/Gluconeogenesis","Oxidative Phosphorylation","e_coli_core"
"9",9,"FBA","PGI",-9.37935004501003,9.95653553906504,-48.016614442475,9.99104230975001,0,4.86086114649686,-1,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,262.96057047527,7,8,33,0.3125,"Glycolysis/Gluconeogenesis","Glycolysis/Gluconeogenesis","e_coli_core"
"10",10,"FBA","PGL",-9.37935004501003,9.95653553906504,0,58.0076567522251,0,4.95998494457465,-1,0,4.95998494457464,4.95998494457466,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",47,398.49720746489,6,8,33,0.297872340425532,"Glycolysis/Gluconeogenesis","Pentose Phosphate Pathway","e_coli_core"
"11",11,"FBA","RPE",-9.37935004501003,9.95653553906504,-0.620909006871443,38.6403624474101,0,2.67848185050752,-1,-1,2.67848185050752,2.67848185050752,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",47,386.418297232745,7,8,32,0.319148936170213,"Glycolysis/Gluconeogenesis","Pentose Phosphate Pathway","e_coli_core"
"12",12,"FBA","TALA",-9.37935004501003,9.95653553906504,-0.1545362010703,19.32806836073,0,1.49698375726155,-1,-1,1.49698375726155,1.49698375726155,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",47,392.585594431631,7,8,32,0.319148936170213,"Glycolysis/Gluconeogenesis","Pentose Phosphate Pathway","e_coli_core"
"13",13,"FBA","TKT1",-9.37935004501003,9.95653553906504,-0.1545362010703,19.32806836073,0,1.49698375726155,-1,-1,1.49698375726155,1.49698375726155,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",47,392.585594431631,7,8,32,0.319148936170213,"Glycolysis/Gluconeogenesis","Pentose Phosphate Pathway","e_coli_core"
"14",14,"FBA","TKT2",-9.37935004501003,9.95653553906504,-0.466372805801257,19.31229408668,0,1.18149809324598,-1,-1,1.18149809324598,1.18149809324598,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",49,381.00153480182,7,8,34,0.306122448979592,"Glycolysis/Gluconeogenesis","Pentose Phosphate Pathway","e_coli_core"
"15",15,"FUM","PPC",-14.2340195093944,19.335885584075,0,158.5080531932,0,2.50430947036873,-1,0,2.50430947036873,2.50430947036873,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",46,56.9321370845276,7,7,32,0.304347826086957,"Citric Acid Cycle","Anaplerotic reactions","e_coli_core"
"16",16,"G6PDH2r","FBA",0,58.0076567522251,-9.37935004501003,9.95653553906504,-10,0,0,-1,7.47738196216028,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",47,398.49720746489,6,8,33,0.297872340425532,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"17",17,"G6PDH2r","PFK",0,58.0076567522251,0,168.339373331385,-10,7.47738196216029,0,0,7.47738196216032,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",48,401.87466181883,8,9,31,0.354166666666667,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"18",18,"G6PDH2r","PGI",0,58.0076567522251,-48.016614442475,9.99104230975001,-10,4.86086114649686,0,-1,4.86086114649686,4.86086114649686,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",33,132.122442112756,2,6,25,0.242424242424242,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
"19",19,"G6PDH2r","RPE",0,58.0076567522251,-0.620909006871443,38.6403624474101,-10,2.67848185050752,0,-1,2.67848185050752,2.67848185050741,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",16,7.62717003166002,3,7,6,0.625,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"20",20,"G6PDH2r","TALA",0,58.0076567522251,-0.1545362010703,19.32806836073,-10,1.49698375726155,0,-1,1.49698375726155,1.49698375726155,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.35027301691792,4,7,3,0.785714285714286,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"21",21,"G6PDH2r","TKT1",0,58.0076567522251,-0.1545362010703,19.32806836073,-10,1.49698375726155,0,-1,1.49698375726155,1.49698375726155,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",14,3.35027301691792,4,7,3,0.785714285714286,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"22",22,"G6PDH2r","TKT2",0,58.0076567522251,-0.466372805801257,19.31229408668,-10,1.18149809324598,0,-1,1.18149809324598,1.18149809324598,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",24,15.0277844926235,3,7,14,0.416666666666667,"Pentose Phosphate Pathway","Pentose Phosphate Pathway","e_coli_core"
"23",23,"G6PDH2r","TPI",0,58.0076567522251,-9.37935004501003,9.95653553906504,-10,7.47738196216028,0,-1,7.47738196216028,7.47738196216028,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL",47,398.49720746489,6,8,33,0.297872340425532,"Pentose Phosphate Pathway","Glycolysis/Gluconeogenesis","e_coli_core"
