Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
3OAS120,AACPS7,pFBAOpt_Rxns,MLE_Rxns
3OAS120,FACOAE120,pFBAOpt_Rxns,MLE_Rxns
3OAS120,ECOAH6,pFBAOpt_Rxns,MLE_Rxns
3OAS120,HACD6i,pFBAOpt_Rxns,MLE_Rxns
3OAS120,ACACT9,pFBAOpt_Rxns,MLE_Rxns
3OAS160,AACPS3,pFBAOpt_Rxns,MLE_Rxns
3OAS160,FACOAE160,pFBAOpt_Rxns,MLE_Rxns
3HAD120,AACPS7,pFBAOpt_Rxns,MLE_Rxns
3HAD120,FACOAE120,pFBAOpt_Rxns,MLE_Rxns
3HAD120,ECOAH6,pFBAOpt_Rxns,MLE_Rxns
3HAD120,HACD6i,pFBAOpt_Rxns,MLE_Rxns
3HAD120,ACACT9,pFBAOpt_Rxns,MLE_Rxns
3HAD140,FACOAE140,pFBAOpt_Rxns,MLE_Rxns
3HAD160,AACPS3,pFBAOpt_Rxns,MLE_Rxns
3HAD160,FACOAE160,pFBAOpt_Rxns,MLE_Rxns
ACHBS,ACLS_a,pFBAOpt_Rxns,ELE_Rxns
ACHBS,ilvg,pFBAOpt_Rxns,ELE_Rxns
3OAR120,AACPS7,pFBAOpt_Rxns,MLE_Rxns
3OAR120,FACOAE120,pFBAOpt_Rxns,MLE_Rxns
3OAR120,ECOAH6,pFBAOpt_Rxns,MLE_Rxns
3OAR120,HACD6i,pFBAOpt_Rxns,MLE_Rxns
3OAR120,ACACT9,pFBAOpt_Rxns,MLE_Rxns
3OAR160,AACPS3,pFBAOpt_Rxns,MLE_Rxns
3OAR160,FACOAE160,pFBAOpt_Rxns,MLE_Rxns
ACONTa,FGLU,pFBAOpt_Rxns,MLE_Rxns
ACONTa,FORAMD,pFBAOpt_Rxns,MLE_Rxns
ACONTa,HISDr,pFBAOpt_Rxns,MLE_Rxns
ACONTa,IZPN,pFBAOpt_Rxns,MLE_Rxns
ACONTa,URCN,pFBAOpt_Rxns,MLE_Rxns
ACONTb,FGLU,pFBAOpt_Rxns,MLE_Rxns
ACONTb,FORAMD,pFBAOpt_Rxns,MLE_Rxns
ACONTb,HISDr,pFBAOpt_Rxns,MLE_Rxns
ACONTb,IZPN,pFBAOpt_Rxns,MLE_Rxns
ACONTb,URCN,pFBAOpt_Rxns,MLE_Rxns
ASNS2,ASNS1,pFBAOpt_Rxns,MLE_Rxns
CS,FGLU,pFBAOpt_Rxns,MLE_Rxns
CS,FORAMD,pFBAOpt_Rxns,MLE_Rxns
CS,HISDr,pFBAOpt_Rxns,MLE_Rxns
CS,IZPN,pFBAOpt_Rxns,MLE_Rxns
CS,URCN,pFBAOpt_Rxns,MLE_Rxns
CYSTGL,THRD_L,pFBAOpt_Rxns,ELE_Rxns
CYS,CYSS,pFBAOpt_Rxns,MLE_Rxns
CYS,SERAT,pFBAOpt_Rxns,MLE_Rxns
CYTK1,NTD4,pFBAOpt_Rxns,MLE_Rxns
DALAt2pp,DALAtex,pFBAOpt_Rxns,MLE_Rxns
DHORD2,DHORD5,pFBAOpt_Rxns,ELE_Rxns
DNAMTn2r,METS,pFBAOpt_Rxns,MLE_Rxns
DNAMTn2r,MTHFR2,pFBAOpt_Rxns,MLE_Rxns
EAR121y,EAR121x,pFBAOpt_Rxns,pFBAOpt_Rxns
EAR141y,EAR141x,pFBAOpt_Rxns,pFBAOpt_Rxns
EAR161x,EAR161y,pFBAOpt_Rxns,pFBAOpt_Rxns
EAR181y,EAR181x,pFBAOpt_Rxns,pFBAOpt_Rxns
EAR40x,EAR40y,pFBAOpt_Rxns,pFBAOpt_Rxns
EAR60x,EAR60y,pFBAOpt_Rxns,pFBAOpt_Rxns
EAR80y,EAR80x,pFBAOpt_Rxns,pFBAOpt_Rxns
FUM,SUCCt3pp,pFBAOpt_Rxns,MLE_Rxns
GARFT,GART,pFBAOpt_Rxns,MLE_Rxns
G5SD,NACODA,pFBAOpt_Rxns,MLE_Rxns
GLCtex_copy2,GLCtex_copy1,pFBAOpt_Rxns,pFBAOpt_Rxns
GLU5K,NACODA,pFBAOpt_Rxns,MLE_Rxns
GLYCtpp,GLYCtex,pFBAOpt_Rxns,MLE_Rxns
FLDR,NDPK7,pFBAOpt_Rxns,pFBAOpt_Rxns
FLDR,NDPK8,pFBAOpt_Rxns,ELE_Rxns
HCYSMT,METS,pFBAOpt_Rxns,MLE_Rxns
HCYSMT,MTHFR2,pFBAOpt_Rxns,MLE_Rxns
ICDHyr,FGLU,pFBAOpt_Rxns,MLE_Rxns
ICDHyr,FORAMD,pFBAOpt_Rxns,MLE_Rxns
ICDHyr,HISDr,pFBAOpt_Rxns,MLE_Rxns
ICDHyr,IZPN,pFBAOpt_Rxns,MLE_Rxns
ICDHyr,URCN,pFBAOpt_Rxns,MLE_Rxns
KAS15,KAS14,pFBAOpt_Rxns,ELE_Rxns
NDPK1,ADK3,pFBAOpt_Rxns,ELE_Rxns
NDPK5,RNTR2c,pFBAOpt_Rxns,pFBAOpt_Rxns
MTHFC,GART,pFBAOpt_Rxns,MLE_Rxns
MTHFC,PFL,pFBAOpt_Rxns,MLE_Rxns
MTHFD,GART,pFBAOpt_Rxns,MLE_Rxns
MTHFD,PFL,pFBAOpt_Rxns,MLE_Rxns
