,Var1,Var2,Subsystem 1,Subsystem 2
0,3HAD180,ACOAD8f,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
1,3HAD180,AACPS6,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
2,3HAD180,FACOAE180,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
3,3HAD180,FACOAL181t2pp,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
4,3HAD180,CTECOAI8,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
5,3OAR120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
6,3OAR120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
7,3OAR120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
8,3OAR120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
9,3OAR120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
10,3OAR160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
11,3OAR160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
12,3OAR180,ACOAD8f,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
13,3OAR180,AACPS6,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
14,3OAR180,FACOAE180,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
15,3OAR180,FACOAL181t2pp,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
16,3OAR180,CTECOAI8,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
17,3OAS120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
18,3OAS120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
19,3OAS120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
20,3OAS120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
21,3OAS120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
22,3OAS160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
23,3OAS160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
24,3OAS180,ACOAD8f,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
25,3OAS180,AACPS6,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
26,3OAS180,FACOAE180,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
27,3OAS180,FACOAL181t2pp,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
28,3OAS180,CTECOAI8,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
29,3HAD120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
30,3HAD120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
31,3HAD120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
32,3HAD120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
33,3HAD120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
34,3HAD140,AACPS1,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
35,3HAD140,FACOAE140,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
36,3HAD160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
37,3HAD160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
38,ASNS2,ASNS1,Alanine and Aspartate Metabolism,Alanine and Aspartate Metabolism
39,DHORD2,DHORD5,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
40,EAR121x,EAR121y,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
41,EAR141x,EAR141y,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
42,DKMPPD3,DKMPPD,Arginine and Proline Metabolism,Arginine and Proline Metabolism
43,EAR161x,EAR161y,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
44,EAR181x,EAR181y,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
45,EAR40x,EAR40y,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
46,EAR60x,EAR60y,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
47,EAR80x,EAR80y,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
48,FORtppi,GART,Transport Inner Membrane,Purine and Pyrimidine Biosynthesis
49,G5SD,NACODA,Arginine and Proline Metabolism,Arginine and Proline Metabolism
50,FUM,SUCCt3pp,Citric Acid Cycle,Transport Inner Membrane
51,GARFT,GART,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
52,GLCtex,GLCtex,Transport Outer Membrane,Transport Outer Membrane
53,GLYCtpp,GLYCtex,Transport Inner Membrane,Transport Outer Membrane Porin
54,GLU5K,NACODA,Arginine and Proline Metabolism,Arginine and Proline Metabolism
55,GLUDy,GLUSy,Glutamate Metabolism,Glutamate metabolism
56,KAS15,KAS14,Membrane Lipid Metabolism,Membrane Lipid Metabolism
57,Kt2pp,Kabcpp,Inorganic Ion Transport and Metabolism,Inorganic Ion Transport and Metabolism
58,MTHFC,GART,Folate Metabolism,Purine and Pyrimidine Biosynthesis
59,MTHFD,GART,Folate Metabolism,Purine and Pyrimidine Biosynthesis
60,ORNDC,AGMT,Arginine and Proline Metabolism,Arginine and Proline Metabolism
61,ORNDC,UREAtex,Arginine and Proline Metabolism,Transport Outer Membrane Porin
62,ORNDC,UREAtpp,Arginine and Proline Metabolism,Transport Inner Membrane
63,PA140abcpp,CLPNH140pp,Transport Inner Membrane,Glycerophospholipid Metabolism
64,PA160abcpp,CLPNH160pp,Transport Inner Membrane,Glycerophospholipid Metabolism
65,PA161abcpp,CLPNH161pp,Transport Inner Membrane,Glycerophospholipid Metabolism
66,PA180abcpp,CLPNH180pp,Transport Inner Membrane,Glycerophospholipid Metabolism
67,PA181abcpp,CLPNH181pp,Transport Inner Membrane,Glycerophospholipid Metabolism
68,PAPA161pp,ENLIPAtex,Glycerophospholipid Metabolism,Lipopolysaccharide Biosynthesis Recycling
69,PAPA161pp,PETNT161pp,Glycerophospholipid Metabolism,Lipopolysaccharide Biosynthesis Recycling
70,PAPA181pp,ENLIPAtex,Glycerophospholipid Metabolism,Lipopolysaccharide Biosynthesis Recycling
71,PAPA181pp,PETNT181pp,Glycerophospholipid Metabolism,Lipopolysaccharide Biosynthesis Recycling
72,PAPSR,GTHOr,Cysteine Metabolism,Cofactor and Prosthetic Group Biosynthesis
73,PAPSR,GRXR,Cysteine Metabolism,Unassigned
74,PAPSR,PAPSR2,Cysteine Metabolism,Cysteine Metabolism
75,PG140abcpp,PGP140abcpp,Transport Inner Membrane,Transport Inner Membrane
76,PG140abcpp,PGPP140pp,Transport Inner Membrane,Glycerophospholipid Metabolism
77,PG160abcpp,PGP160abcpp,Transport Inner Membrane,Transport Inner Membrane
78,PG160abcpp,PGPP160pp,Transport Inner Membrane,Glycerophospholipid Metabolism
79,PG161abcpp,PGP161abcpp,Transport Inner Membrane,Transport Inner Membrane
80,PG161abcpp,PGPP161pp,Transport Inner Membrane,Glycerophospholipid Metabolism
81,PG180abcpp,PGP180abcpp,Transport Inner Membrane,Transport Inner Membrane
82,PG180abcpp,PGPP180pp,Transport Inner Membrane,Glycerophospholipid Metabolism
83,PG181abcpp,PGP181abcpp,Transport Inner Membrane,Transport Inner Membrane
84,PG181abcpp,PGPP181pp,Transport Inner Membrane,Glycerophospholipid Metabolism
85,PGPP140,PGP140abcpp,Glycerophospholipid Metabolism,Transport Inner Membrane
86,PGPP140,PGPP140pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
87,PGPP160,PGP160abcpp,Glycerophospholipid Metabolism,Transport Inner Membrane
88,PGPP160,PGPP160pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
89,PGPP161,PGP161abcpp,Glycerophospholipid Metabolism,Transport Inner Membrane
90,PGPP161,PGPP161pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
91,PGPP180,PGP180abcpp,Glycerophospholipid Metabolism,Transport Inner Membrane
92,PGPP180,PGPP180pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
93,PGPP181,PGP181abcpp,Glycerophospholipid Metabolism,Transport Inner Membrane
94,PGPP181,PGPP181pp,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
95,PIt2rpp,PIuabcpp,Inorganic Ion Transport and Metabolism,Inorganic Ion Transport and Metabolism
96,PPC,ICL,Anaplerotic Reactions,Anaplerotic Reactions
97,RNTR1c,NDPK8,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
98,RNTR2c,NDPK5,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
99,RNTR3c,NDPK7,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
100,TRDR,GTHOr,Oxidative Phosphorylation,Cofactor and Prosthetic Group Biosynthesis
101,TRDR,GRXR,Oxidative Phosphorylation,Unassigned
102,TRDR,PAPSR2,Oxidative Phosphorylation,Cysteine Metabolism
103,TRPS1,TRPS2,Tyrosine Tryptophan and Phenylalanine Metabolism,Tyrosine Tryptophan and Phenylalanine Metabolism
104,TRPS1,TRPS3,Tyrosine Tryptophan and Phenylalanine Metabolism,Tyrosine Tryptophan and Phenylalanine Metabolism
105,VALTA,VPAMTr,Valine Leucine and Isoleucine Metabolism,Alanine and Aspartate Metabolism
106,ZN2tpp,ZNabcpp,Inorganic Ion Transport and Metabolism,Inorganic Ion Transport and Metabolism
107,SUCDi,DMATT,Oxidative Phosphorylation,Cofactor and Prosthetic Group Biosynthesis
108,SUCDi,GRTT,Oxidative Phosphorylation,Cofactor and Prosthetic Group Biosynthesis
109,CBMKr,CBPS,Unassigned,Arginine and Proline Metabolism
110,SO3R,SULR,Glycerophospholipid Metabolism,Cysteine Metabolism
111,OA5L_ST,OA5VL_ST,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
112,ADK3,ADK1,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
113,GAPD,ATPS4rpp,GlycolysisGluconeogenesis,Oxidative Phosphorylation
114,NDPK1,ADK1,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
115,NDPK1,ADK3,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
116,MTHFC,GARFT,Folate Metabolism,Purine and Pyrimidine Biosynthesis
117,MTHFD,GARFT,Folate Metabolism,Purine and Pyrimidine Biosynthesis
118,O2tex,DKMPPD3,Transport Outer Membrane Porin,Arginine and Proline Metabolism
119,O2tex,ENO,Transport Outer Membrane Porin,GlycolysisGluconeogenesis
120,O2tex,FBA,Transport Outer Membrane Porin,GlycolysisGluconeogenesis
121,O2tex,GAPD,Transport Outer Membrane Porin,GlycolysisGluconeogenesis
122,O2tpp,DKMPPD3,Inorganic Ion Transport and Metabolism,Arginine and Proline Metabolism
123,O2tpp,ENO,Inorganic Ion Transport and Metabolism,GlycolysisGluconeogenesis
124,O2tpp,FBA,Inorganic Ion Transport and Metabolism,GlycolysisGluconeogenesis
125,O2tpp,GAPD,Inorganic Ion Transport and Metabolism,GlycolysisGluconeogenesis
126,PAPA161pp,LIPAabcpp,Glycerophospholipid Metabolism,Lipopolysaccharide Biosynthesis Recycling
127,PAPA181pp,LIPAabcpp,Glycerophospholipid Metabolism,Lipopolysaccharide Biosynthesis Recycling
128,PGCD,GHMT2r,Glycine and Serine Metabolism,Glycine and Serine Metabolism
129,PFK,O2tex,GlycolysisGluconeogenesis,Transport Outer Membrane Porin
130,PFK,O2tpp,GlycolysisGluconeogenesis,Inorganic Ion Transport and Metabolism
131,PGK,ATPS4rpp,GlycolysisGluconeogenesis,Oxidative Phosphorylation
132,PGK,O2tex,GlycolysisGluconeogenesis,Transport Outer Membrane Porin
133,PGK,O2tpp,GlycolysisGluconeogenesis,Inorganic Ion Transport and Metabolism
134,PGM,O2tex,GlycolysisGluconeogenesis,Transport Outer Membrane Porin
135,PGM,O2tpp,GlycolysisGluconeogenesis,Inorganic Ion Transport and Metabolism
136,PPC,FUM,Anaplerotic Reactions,Citric Acid Cycle
137,PPC,MDH,Anaplerotic Reactions,Citric Acid Cycle
138,PPC,O2tex,Anaplerotic Reactions,Transport Outer Membrane Porin
139,PPC,O2tpp,Anaplerotic Reactions,Inorganic Ion Transport and Metabolism
140,PPC,MALS,Anaplerotic Reactions,Anaplerotic Reactions
141,PSERT,GHMT2r,Glycine and Serine Metabolism,Glycine and Serine Metabolism
142,PSP_L,GHMT2r,Glycine and Serine Metabolism,Glycine and Serine Metabolism
143,RPE,GND,Pentose Phosphate Pathway,Pentose Phosphate Pathway
144,RPI,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
145,TKT1,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
146,TKT1,RPI,Pentose Phosphate Pathway,Pentose Phosphate Pathway
147,TKT2,GND,Pentose Phosphate Pathway,Pentose Phosphate Pathway
148,TKT2,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
149,TKT2,RPI,Pentose Phosphate Pathway,Pentose Phosphate Pathway
150,TKT2,TKT1,Pentose Phosphate Pathway,Pentose Phosphate Pathway
151,TPI,FBA,GlycolysisGluconeogenesis,GlycolysisGluconeogenesis
152,TPI,O2tex,GlycolysisGluconeogenesis,Transport Outer Membrane Porin
153,TPI,O2tpp,GlycolysisGluconeogenesis,Inorganic Ion Transport and Metabolism
154,TPI,PFK,GlycolysisGluconeogenesis,GlycolysisGluconeogenesis
155,SUCDi,PPC,Oxidative Phosphorylation,Anaplerotic Reactions
156,SUCOAS,AKGDH,Citric Acid Cycle,Citric Acid Cycle
157,TALA,RPI,Pentose Phosphate Pathway,Pentose Phosphate Pathway
158,TALA,TKT1,Pentose Phosphate Pathway,Pentose Phosphate Pathway
159,TALA,TKT2,Pentose Phosphate Pathway,Pentose Phosphate Pathway
