,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
0,GARFT,GART,pFBAOpt_Rxns,ELE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
1,GARFT,PFL,pFBAOpt_Rxns,ELE_Rxns,Purine and Pyrimidine Biosynthesis,Pyruvate Metabolism
2,GHMT2r,PGCD,pFBAOpt_Rxns,ELE_Rxns,Glycine and Serine Metabolism,Glycine and Serine Metabolism
3,GHMT2r,PSERT,pFBAOpt_Rxns,ELE_Rxns,Glycine and Serine Metabolism,Glycine and Serine Metabolism
4,GHMT2r,PSP_L,pFBAOpt_Rxns,ELE_Rxns,Glycine and Serine Metabolism,Glycine and Serine Metabolism
5,3HAD120,AACPS7,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
6,3HAD120,FACOAE120,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
7,3HAD120,ECOAH6,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
8,3HAD120,HACD6i,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
9,3HAD120,ACACT9,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
10,3HAD140,AACPS1,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
11,3HAD140,FACOAE140,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
12,3HAD160,AACPS3,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
13,3HAD160,FACOAE160,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
14,3OAR120,AACPS7,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
15,3OAR120,FACOAE120,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
16,3OAR120,ECOAH6,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
17,3OAR120,HACD6i,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
18,3OAR120,ACACT9,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
19,3OAR160,AACPS3,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
20,3OAR160,FACOAE160,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
21,3OAS120,AACPS7,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
22,3OAS120,FACOAE120,pFBAOpt_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
